point_x,point_y,line_point1_x,line_point1_y,line_point2_x,line_point2_y,area,distance
7.75459405702323523e-01,5.67507287061285615e-01, 9.63482917182810650e-01,3.32604191924702475e-02, 9.19688308228079010e-01,5.51786132359364245e-01, 7.40978927189583220e-02, 1.42394116600583487e-01
6.23187583999165851e-01,4.50357933636033936e-01, 3.22963871975362804e-01,7.46690911770436894e-01, 8.49737339981941009e-01,6.90803214000928367e-01, 1.39321538495750685e-01, 2.63004881949816083e-01
6.24103479839280162e-01,6.04913378593213702e-02, 3.15260127044252658e-01,7.24140651620782672e-02, 8.45496976355931684e-02,4.90776234838304015e-01, 1.26457677629666365e-01, 2.64688946960354055e-01
9.51849232979382287e-01,1.97618155113027938e-01, 7.79008113009063585e-01,7.56203300444709292e-01, 7.51796211716202922e-01,3.44738722885409521e-01, 8.63181622518873759e-02, 2.09325461667132423e-01
7.30002114905947797e-01,1.47333825237202065e-01, 8.27137300290795241e-01,6.06321410453881771e-01, 8.20189679848884245e-01,3.11110952936287322e-01, 2.54864509888823969e-02, 8.63092589253731390e-02
9.56247207035378910e-01,8.51395232102460153e-01, 6.36920278854865907e-01,9.68395059286658144e-01, 5.71440384730550699e-01,2.08968125971478735e-01, 2.50166606089668009e-01, 3.28197267129639536e-01
6.02534252617886401e-01,9.10033655002849939e-01, 9.81931758511033426e-01,3.98673643892366592e-03, 1.63668642149348065e-01,6.76412548324827112e-01, 4.86268099226334238e-01, 4.59129597258958910e-01
1.54920312620910550e-01,4.29141737270391621e-01, 1.88426272617037149e-03,7.95493784776502455e-01, 8.08599246303809749e-01,7.53306850885218982e-01, 2.89085564267634210e-01, 3.57860077548263988e-01
2.38968316961851723e-03,9.62224100623032652e-01, 4.21594556134393783e-01,1.58861109889554930e-01, 8.42046318889370871e-01,2.99021033661162172e-01, 3.96531108625430229e-01, 8.94704142594000218e-01
6.20436074135047311e-01,1.65887820893252713e-01, 9.00296274848645717e-01,3.98043595068513167e-01, 2.39822135096236289e-01,6.45531571017545214e-01, 2.22594919860258117e-01, 3.15594199535856212e-01
8.78899899949805663e-01,6.22199453997070551e-01, 9.02383887970811482e-01,9.13464153367439358e-01, 2.49786626658465849e-03,8.57629837592189914e-01, 2.60793819176451780e-01, 2.89251380829588067e-01
