point_x,point_y,point_z,line_point1_x,line_point1_y,line_point1_z,line_point2_x,line_point2_y,line_point2_z,area,distance
8.77243608559573618e-02,4.37759244691926508e-02,9.97345889483710613e-02, 8.08788126084126202e-01,2.34764070168611561e-02,2.42355536584601405e-01, 2.51113005741130491e-01,3.30197916320416063e-02,2.59574172956864913e-01, 9.20748723018705445e-02, 1.65002081865938621e-01
3.70688882172193535e-01,8.66662454410427774e-01,3.82374926132765691e-01, 6.31403004900241815e-01,6.02994393367227710e-01,1.81329924721791769e-01, 4.47865099429856084e-01,2.17048913779922636e-01,5.36679925662983281e-01, 2.33777805112082043e-01, 4.20614938357517787e-01
6.51772811799583685e-01,3.20277216047987201e-01,2.25501328259856249e-01, 7.48628288878739112e-01,6.24034866842480884e-01,3.38967023424833425e-01, 4.16398912924774267e-01,8.67033843647357139e-01,3.42249306273343490e-01, 1.32815232980106723e-01, 3.22660284166506328e-01
2.12498588155964785e-01,9.91276294415274650e-01,3.56344184681602894e-02, 7.28167638809992912e-01,8.17912710466377257e-01,1.83764687169085117e-01, 6.53089712438369441e-01,3.44517430015967019e-01,3.06589126628551201e-01, 2.72111832106735618e-01, 5.49944656328905546e-01
4.44299428242782568e-02,9.25020741413951075e-03,2.79238857129577189e-01, 1.24495524249386702e-01,2.51620986929158463e-01,1.63899954937123060e-01, 7.16019099197309217e-02,6.47722246700827786e-01,2.60303058478139615e-02, 4.92705639699824588e-02, 1.16552836717670763e-01
5.28761100333763334e-03,3.24688819607916734e-01,3.55904408252846971e-01, 6.79051951303241474e-01,6.79048468323505849e-01,6.94106733805468501e-02, 5.61336792045326605e-01,8.52677598316167518e-01,1.85126691283047373e-02, 1.75547860766005981e-01, 8.13257403628050879e-01
7.04731309487125479e-01,1.54042527966514409e-01,3.03023358658194075e-01, 3.25964798863657257e-01,6.88905248216336030e-01,4.37280836079040780e-01, 1.11002941227345553e-01,8.13898547160595953e-01,1.95873951418062187e-01, 2.00829531151456825e-01, 5.79481293650113694e-01
3.67002736823652476e-01,6.80257532555207711e-01,3.73172317471041071e-02, 1.75402249907885333e-01,9.30538979511302045e-01,9.47128912073735729e-01, 1.57849991812614499e-01,6.50345822651852257e-01,2.70389843551510412e-01, 1.78606833482131550e-01, 2.43778293070653795e-01
4.06053650175400183e-01,6.66941695883870644e-01,2.23968198765068460e-01, 2.98293099443772913e-01,4.33414479723128854e-01,6.50743604066114312e-01, 9.79150752715844397e-01,5.81719315833222561e-01,8.25582873368029269e-02, 2.79049755462753901e-01, 3.10362729217693201e-01
9.39155953496386697e-02,6.53172649037379038e-01,2.54469395547868737e-01, 3.00734658186148085e-02,7.38997639650456062e-02,6.60179819379068000e-01, 3.85592025514588377e-01,9.43261644073550842e-02,8.18587727932536091e-01, 2.75155682318885542e-01, 7.05982992645891927e-01
1.76166303906960975e-01,2.32673203645201720e-02,6.73746138922270976e-03, 8.95156552390658500e-01,6.55315670306211295e-02,1.07302556785338177e-01, 3.74989774648740837e-01,9.15410465301596088e-01,6.58144126498599880e-02, 6.39414972350477506e-01, 6.41151999112242188e-01
7.77312756472010258e-01,2.04611506901719808e-01,3.18260795774280902e-01, 9.89454984011763350e-01,3.96218899238845790e-01,8.02551558150681466e-01, 6.09968288920204382e-01,5.50011115039999221e-01,1.41131113310471124e-01, 2.31240690401446042e-01, 2.97260095619245546e-01
8.61874991114099931e-02,3.62594483657383559e-02,9.03522958147489064e-02, 6.82375641496321905e-01,1.91599107134147073e-01,5.84921261506276102e-01, 3.85534723530245649e-01,8.38392605890475706e-01,4.60548239014575644e-01, 5.53825204472069399e-01, 7.66599731283465258e-01
2.01419275902741557e-01,2.76790541340474094e-01,6.95349215604181947e-01, 6.12302078795914917e-01,8.01439590328382412e-01,7.31883862379751893e-02, 4.88730135372946517e-01,7.47330413420564943e-01,1.44211485119862148e-01, 6.40537819878746056e-02, 4.20152558352866634e-01
2.92929126236488480e-01,2.21178529667800050e-01,7.14782029660920193e-01, 6.63352118878224317e-02,3.78739462275292538e-01,8.92326608302195123e-01, 9.97346320125318320e-01,5.89383035911462572e-01,1.42528295241113878e-01, 2.49023802654955551e-01, 2.05157741907821711e-01
3.51920685067619199e-01,7.81829634047923605e-01,4.73598809954357103e-01, 3.79049203359781872e-01,1.57523656525264011e-01,1.63963941391397472e-01, 4.84714721509129975e-01,1.08622864112211448e-01,9.18484354108926926e-01, 4.93346650932492026e-01, 6.46205981911465499e-01
7.27771456059925770e-02,1.69331728677864946e-01,9.88851100090225033e-01, 1.88130356417884448e-01,6.86533362207375930e-01,4.21966923339204381e-01, 7.34356415292102715e-01,1.07401349792499157e-01,9.68110797696534409e-01, 5.12821785027560040e-01, 5.31192014188904271e-01
8.84476095737083301e-01,8.66315147066884284e-01,6.78356670221160640e-01, 4.70228217020372763e-01,8.71685174922723904e-01,1.78171215404702932e-01, 8.32263897664548780e-01,1.08902326387037673e-01,2.23565329354921460e-01, 5.19938105394642025e-01, 6.14905396532552162e-01
5.71888993125448275e-01,6.87271620798713623e-01,1.32417097555929009e-01, 5.46916035556469726e-01,9.56681834074534776e-01,5.85156283124252163e-01, 3.90265184232666651e-01,3.27960833045071176e-01,4.18944303557048925e-01, 2.57924836970100213e-01, 3.85583101728864674e-01
7.44689647018937029e-01,6.50373337199442680e-01,8.91769272937920188e-01, 7.77502219827865604e-01,5.79923890206057502e-01,2.41324763896311856e-01, 9.04741640285659843e-01,6.71838087048265420e-02,8.64921008492288479e-01, 3.91380466678226513e-01, 4.78875307231029668e-01
8.62645935241866280e-01,4.37865092428038616e-01,5.82527032321551563e-01, 7.87299735619482410e-01,2.25762838373514851e-01,1.21424315023404561e-01, 2.34494194379748278e-01,9.71494800673401215e-01,1.01488159286305057e-01, 4.64173144006183813e-01, 4.99918580717788552e-01
9.27097438274131269e-01,3.04823326653117954e-01,4.61404803699118515e-01, 5.29620087316463706e-01,7.32443650317892159e-02,9.50309556453103332e-01, 4.44387034973265704e-01,4.17387360859773016e-01,7.26150301081334160e-01, 2.34812518373023527e-01, 5.59797553725197128e-01
9.69690869443099901e-01,6.97246100591135454e-01,6.77768932664104540e-01, 7.06556413548213080e-01,8.54786230178528617e-01,5.19107714094798722e-01, 1.43456112767245902e-01,6.31583455913496183e-01,1.54064453209330154e-01, 1.74410959470698124e-01, 2.46615379815955854e-01
2.14161777942076803e-02,9.13877600996240824e-01,4.09766148518422857e-01, 3.45140176412399247e-01,4.48897488826147661e-02,6.87471830335256939e-01, 3.74660300334663909e-01,2.42900154154656822e-01,5.41387840072739546e-01, 1.27720094833171510e-01, 5.15352047971955995e-01
5.83552606411481878e-01,8.84434414710322248e-02,3.93155623528443021e-01, 3.40971700654954968e-01,4.93077815876763692e-01,2.04184270071172680e-02, 9.60978209634886671e-01,2.79103593862985999e-01,4.99505977137974289e-01, 2.56525830914677178e-01, 3.15828969033219886e-01
2.77096948380240127e-01,1.52821583403812356e-01,9.88352551213787178e-01, 9.69129090058338027e-01,7.68334438556049548e-01,9.32993319855227710e-01, 3.10970921923318877e-01,4.18513402612321062e-01,5.44131261562645019e-01, 4.32276696731706600e-01, 5.14192394875766290e-01
7.76135607517166148e-01,7.54490760482757650e-01,1.39052625485645454e-01, 3.86359154458710830e-02,2.59149670626013462e-01,1.13984756442521928e-01, 6.00433632754112656e-01,5.94864745998928801e-01,6.64196016394351108e-01, 4.73425617592988568e-01, 5.53703296891139174e-01
6.95766114321050066e-01,7.46054105824739522e-01,5.35152299022745637e-01, 2.50663729670510871e-01,6.06608983672078494e-01,3.24117347610319850e-01, 4.81552803933778972e-01,2.14587439720043793e-01,1.71663864575947511e-01, 2.45131547493057794e-01, 5.10876216299721797e-01
4.54381141436747460e-01,5.94356648460507841e-02,9.83325750265241161e-01, 2.01047547475955657e-01,1.31382626939458569e-01,1.61049314681589339e-01, 7.56709947653556925e-01,3.13508613650189671e-02,3.56115632175737162e-01, 4.13421370976423230e-01, 6.92101182047670127e-01
2.46835067034309574e-01,7.85481925753980681e-01,2.53952997278740211e-02, 4.35649925669211346e-01,7.18415360343042653e-01,3.88818588945570753e-01, 1.49102694364320776e-01,9.83775355204340785e-01,5.30581459342952977e-01, 1.71214781180208081e-01, 4.12091105500508648e-01
8.38713755297579744e-01,1.15461001380653849e-01,5.52079402518840801e-01, 2.89302599309499420e-01,7.89204418303695254e-01,6.14423511429829539e-01, 1.95736253690672601e-01,2.79891677704833253e-01,9.88159528246440488e-01, 4.87604739760546746e-01, 7.63531353375748290e-01
5.11180096761603253e-01,8.33917483524316383e-01,5.81584231514996275e-01, 8.90785061726575011e-01,1.39835014196649565e-01,1.25390750648565308e-01, 1.37821060691008190e-01,7.58177015605565274e-01,6.04566733123189981e-01, 3.33987633913172988e-01, 3.07602480270598777e-01
6.19245595240202729e-01,3.48401566909777083e-01,3.24438816873524827e-01, 5.38062408235394862e-01,3.12098730772631172e-01,5.44387020305002189e-01, 5.92350436389303181e-01,1.01513299040637772e-01,6.95137096332269611e-01, 5.11517011014410022e-02, 1.93309025203795948e-01
2.94290968836258382e-01,6.78511302307877040e-02,7.19326793068775672e-01, 1.71608593926248942e-01,6.59829843527841686e-01,3.03324716713113784e-01, 3.29998843775060280e-01,2.58409637143481641e-01,2.60177341464676748e-01, 2.10043376863004588e-01, 4.84316426012825541e-01
4.61808769697097277e-01,3.69892415210869019e-01,6.40874355564759912e-01, 7.39579953079038566e-01,4.64086252049917825e-01,7.97085860621636999e-01, 6.72555731884940000e-01,2.03053478614573568e-01,6.67531760167919819e-01, 7.64798858045024205e-02, 2.55766089390202511e-01
1.41470135753968718e-01,3.93245180685019569e-01,5.15139034606178714e-01, 8.69181888845025008e-01,1.12328118623597040e-01,2.54090448955568649e-01, 3.66513463066913125e-02,9.31836938628969547e-01,8.69044968380313310e-01, 4.31370009080450811e-01, 3.26751313290408629e-01
3.16678061887988194e-01,3.16772343394946421e-01,2.05860337569659935e-02, 9.74377227520832556e-01,7.68342218641330343e-01,9.63404266556832756e-01, 6.94502721982167781e-01,9.27835089240822697e-01,2.60865158164562128e-01, 5.58065036042180163e-01, 7.22067911264626106e-01
4.87671951740580645e-01,5.91540621083000318e-01,3.28257435744706116e-01, 2.11062235814410637e-01,2.11380169173817856e-01,4.52838314474504955e-01, 3.57032165457317197e-01,3.02250693991272135e-01,5.76794197051741842e-01, 8.42054033428173004e-02, 3.97258354474254283e-01
9.51739734392074932e-01,3.96235093918317127e-01,8.08826019485806458e-01, 7.13809559092282497e-01,6.74640457958601947e-01,3.34818253612656602e-01, 2.78212006204344942e-01,1.77310889127818228e-01,9.31014507820139392e-01, 4.28495616419241609e-01, 4.81324542793802712e-01
8.02779123552444629e-01,6.57933075926313005e-01,6.30213290435509554e-01, 8.94476515841671538e-01,2.31710443232436281e-01,3.36143020628763001e-02, 1.71161119563769004e-01,3.06744605500752776e-03,1.64111841886873666e-02, 5.59154468711225094e-01, 7.36905052570264618e-01
3.37042148008781850e-01,1.04814595385116949e-01,6.15637084051786521e-01, 3.14509341330089232e-02,3.03792706915223643e-01,2.73752356492653837e-01, 2.81651070511543478e-01,7.90139010999834634e-01,8.58880918810824401e-01, 3.57750526082560583e-01, 4.46662149202634418e-01
3.07111748263595663e-01,1.58021603703722535e-01,9.76114049480954482e-01, 8.02345933224472785e-01,6.70986171499439732e-01,9.76705182300630081e-02, 6.62313319891821073e-01,3.35176515400000818e-01,9.41795247181002049e-02, 3.35505232263411945e-01, 9.22088523530572579e-01
5.36811098446160262e-01,6.00431890336702301e-01,6.17337788265057474e-01, 6.88260418829442000e-01,3.34191546190130140e-02,8.51301390613946829e-01, 8.32139428811219273e-01,8.15336684113386889e-01,6.91861962731299407e-01, 2.27828218817105493e-01, 2.80966137407473782e-01
5.44401690451770781e-01,9.26626835024962348e-01,9.60225506471672818e-01, 3.46728672262502258e-01,2.03250168818068899e-01,1.39858218868566642e-01, 9.32541894221345924e-01,7.88849080980499773e-01,5.55710386162544534e-03, 8.28021766983936480e-01, 9.86761607239288630e-01
2.54464236178083780e-01,7.47682945023366519e-01,1.33582509183370113e-01, 5.92114258025476237e-01,5.47882927122391061e-01,9.68620352927809680e-01, 8.71954890639479063e-01,3.88942965351458336e-01,3.05896877168386760e-02, 6.36740459396365588e-01, 6.42067897520725794e-01
6.98577228538136863e-01,6.26638438444867441e-01,2.38707888054979778e-02, 5.86181157708813405e-01,6.14785250695768504e-02,3.02272151311394066e-01, 7.57565542673656056e-01,3.10524962536071758e-01,6.69402821193324504e-01, 2.98815059058034238e-01, 6.28309726413789127e-01
3.18743542968326521e-01,6.17121677813338265e-01,5.96624500110522815e-01, 1.09266313352780808e-01,2.56130729679550084e-01,3.70793704729779572e-01, 2.96757904824440977e-01,3.12704384395507629e-01,8.62545472156731385e-01, 1.84222307650730915e-01, 3.48039638581132960e-01
7.66051943250141365e-01,9.19726358451274262e-01,8.89622009299200212e-02, 5.53660232517901751e-01,2.39184313486313194e-01,4.53494480059762783e-01, 8.81825126625247258e-01,3.58676572262259796e-01,3.47477707529054269e-01, 2.22333547059235803e-01, 6.09166948721203028e-01
5.06523644961798691e-01,1.08501773880057883e-01,9.80647978321658065e-01, 4.72159263298012388e-01,7.48750402747177635e-01,5.07472860052877506e-01, 7.03904138722805994e-01,3.23360158058184299e-01,4.96035365709942999e-01, 2.71142589230909947e-01, 5.59570524669255942e-01
6.50766297364975821e-01,5.12306179485791713e-01,9.57380029045136194e-02, 8.47560269504785913e-01,3.55300719431673961e-01,8.58533663331615293e-01, 6.29677526397574461e-01,1.92410930819725268e-01,4.13022202137273475e-01, 2.19705971738310440e-01, 4.20890785539571266e-01
2.88226530871664832e-01,9.27241021487789530e-01,6.91619244295082702e-01, 1.12994541088567768e-01,8.90609612147863827e-01,8.33380366255544791e-01, 7.45245371285791491e-01,6.69467371264184319e-01,2.69720845232995332e-01, 8.13652394378081567e-02, 9.29444209029400142e-02
8.41611432041429186e-01,4.02335649353977476e-01,6.12600331740557613e-01, 8.99741924054930919e-02,5.95164194380936262e-01,2.74264034704695403e-01, 7.22683755161632746e-01,9.98077872826157342e-01,5.71571876308767601e-01, 4.66996333337985514e-01, 5.78769149050161524e-01
7.82012494051210427e-01,8.07740199416783322e-01,4.93616657078231325e-01, 2.70494816662193549e-01,7.27595413684274495e-01,9.91700933229858195e-01, 7.53902627878126785e-01,5.13737680776911176e-02,2.86258495337617824e-01, 5.63109545590779970e-01, 5.16503882758537314e-01
4.76792361144928400e-01,1.77774209610778944e-01,1.50123960347126051e-03, 7.14758171342431137e-01,4.49438854792311604e-01,2.77056496054340351e-01, 6.88116332418245435e-01,6.49940380543433394e-02,7.60423478335260916e-01, 2.79925643243663036e-01, 4.52819421845486236e-01
6.50448031758359413e-02,4.14484049654523345e-01,4.42522846987783103e-01, 9.34879093261519412e-01,6.38193399122992777e-01,9.26990550509197986e-01, 6.31870775673830987e-01,1.69309935895084696e-01,8.34644582329870932e-01, 4.03367287594683932e-01, 7.12843846830894412e-01
9.49600566452710959e-01,5.31011424248493125e-01,8.44990236346244483e-01, 8.92629634473797062e-01,9.43641882049784941e-01,7.53931288389953602e-01, 9.71409158819990237e-02,6.02857854648337854e-01,7.70086208790102145e-01, 3.56147062586267771e-01, 4.11463524107931133e-01
9.26573454532926055e-01,6.81847137666176883e-01,8.98685648655242364e-01, 9.79796067663484704e-01,8.40779221462901738e-01,7.42606050199606904e-01, 2.00841047560803565e-02,5.81104448286582365e-01,3.29006699043174589e-01, 2.45048604382073876e-01, 2.27566801153986309e-01
9.95026186887452258e-01,1.61589572127131320e-01,2.09123993838970290e-01, 8.36639917877784578e-01,1.50990059544215294e-01,9.21274207182253058e-01, 9.93881219277787276e-01,9.40901587568438780e-01,3.84473344141823437e-01, 5.71001338080238785e-01, 5.89935272084832873e-01
3.73749293250364989e-01,9.07961397328630571e-01,7.20026972280428224e-01, 1.82811704353352034e-01,6.14856926892935141e-01,7.27094977078001081e-01, 3.94160855743068028e-01,1.36655598826134428e-01,3.13301067266366084e-02, 2.89341959992110487e-01, 3.32459768999693706e-01
4.00327604495280598e-01,5.87429903067479886e-01,7.33393610654125228e-01, 5.39477092035000494e-01,8.38570302499960674e-01,6.19626491002435165e-02, 1.07993332828636435e-01,2.59573407382035271e-01,9.26012698059014205e-01, 2.42892764629408481e-01, 2.15702546488981434e-01
7.87765461353014618e-01,3.87502270530353243e-02,3.34884987240229304e-01, 2.72864080739773640e-01,8.32205762121684289e-01,7.60352368365550091e-01, 5.50573180351559111e-01,6.93240283716097916e-01,6.44232508010424976e-01, 1.63207296047250150e-01, 4.92272992699813672e-01
5.38449468734241155e-01,9.89922925764945560e-01,4.97834000425393386e-02, 2.66201641160450753e-01,3.40995960955230881e-01,3.43722130152119054e-01, 6.66948784478503254e-01,2.88791177988971137e-01,4.59981461340309927e-01, 3.18071048473397566e-01, 7.56369622880719961e-01
9.14324061092756657e-01,4.68398628972474640e-01,9.38472581922773830e-01, 1.58420931620018357e-01,9.74085941477073169e-01,8.48960967823850887e-01, 2.47988073369396433e-01,5.22202063252243720e-01,8.68316208102469456e-01, 2.97943129727373690e-01, 6.46183545221564737e-01
3.51601911835153880e-01,6.51028534912898582e-01,4.21301311454219674e-01, 4.41520861804207354e-01,3.18469662621123750e-01,3.03723307965987122e-01, 5.01185374939097539e-01,5.96721339526543271e-01,1.77445613434147442e-01, 8.72535168233306568e-02, 2.80255435797531816e-01
4.31685788033354667e-02,6.80432902509467530e-01,3.72833077725804762e-01, 3.79937771759494058e-01,1.60954695659553337e-01,3.74526509820753861e-01, 2.14134503196867887e-01,5.68352365040828089e-01,1.47270936312887568e-01, 1.48985498779521108e-01, 3.00929423517132422e-01
9.89487267667279347e-01,2.85930813547380369e-01,3.90892418420609400e-01, 5.40123482656636011e-01,1.23978890168369826e-01,8.89360844217811808e-01, 3.96024618100760617e-01,9.83252868417894610e-01,7.95404131361735267e-01, 5.92725155758571765e-01, 6.76376563377183215e-01
8.36678993395870707e-02,3.87936481169537606e-01,9.17317406007575942e-01, 2.83562481587168014e-01,7.48423668080304805e-01,9.09548860865192488e-01, 6.60917269249324812e-02,4.81624321005736711e-01,8.91010150840256143e-01, 2.70916404313675356e-02, 7.85945018105517201e-02
3.53993714747326882e-01,1.90651790189333425e-01,5.20923302156314549e-01, 5.76985133903060721e-01,3.72267415912655886e-01,7.54898336062000963e-02, 3.32016851434077109e-02,9.60245683727103727e-01,1.84436663625549446e-01, 4.23890856749324085e-01, 5.24447006385231895e-01
4.57371464150431950e-01,4.06463059049499087e-01,3.50744396963221017e-01, 4.79822588492811120e-01,5.75450622394886313e-02,9.15702041675945932e-01, 6.96263851563041047e-01,3.65348625057592913e-01,9.08134663688563104e-01, 2.26091401608185305e-01, 6.00731179517114744e-01
5.83717150918079630e-01,9.34695803125207614e-01,4.81765921132799368e-01, 6.55693092799784494e-01,4.04093073399020897e-01,6.00299252630565716e-01, 7.31103858404117402e-02,5.81722485823309210e-01,9.90204986051684721e-01, 3.86268322815643828e-01, 5.34128822564735262e-01
8.67428663963047186e-01,7.40877952583470778e-02,9.35214509896776458e-01, 6.55445407048059536e-01,9.31896975594011412e-01,1.73499512153853730e-01, 8.19054652656287407e-01,2.17842314228903988e-01,9.71333591525131101e-01, 1.47775587220557891e-01, 1.36433221744852645e-01
3.18785567045975493e-01,3.79134622293144763e-01,8.71984718633509348e-01, 7.24454574395799966e-01,2.54250158003556104e-01,5.85419926034111859e-01, 8.44376713520313960e-02,8.91299917547235809e-02,7.75690791985934713e-01, 1.94725610695882595e-01, 2.83107586957361934e-01
7.64253792576752966e-01,2.43320943410853863e-01,2.05792677686757575e-01, 1.94608590880931409e-01,7.87899883529310952e-01,3.69304926645416032e-01, 5.78349882490953648e-01,9.79969058700568496e-01,5.01031835863858799e-02, 3.97082599082379584e-01, 7.42453429152708066e-01
2.50617778277767100e-01,4.62427395864737467e-01,4.89601582939406033e-01, 5.63355290459096603e-02,1.71448969851981881e-01,6.61508825130662115e-01, 6.27376580955339658e-01,8.86215098526514589e-01,6.89859530706151580e-01, 1.69370957975985031e-01, 1.85043299142026829e-01
4.20564853763581770e-01,7.19683239324950930e-01,2.16572548348737404e-01, 4.22663753724340063e-01,5.02404276851769471e-01,9.13153012137460696e-01, 4.27905193864469124e-01,6.67623715058205502e-01,9.59876828116048575e-01, 1.25299931256650565e-01, 7.29424882642940586e-01
5.95100151717840031e-01,5.19879542900225644e-04,4.46471134712527196e-01, 6.12842088110859162e-01,9.42894362997891977e-01,4.52044164095057321e-01, 7.28846145412706425e-01,9.45539050002720538e-01,9.30317405490453164e-01, 4.63821480039563860e-01, 9.42443912739818090e-01
7.41227101275126143e-01,6.74486475019285825e-01,3.97278191084684207e-01, 2.17893904855584353e-01,4.54805857150490378e-01,8.78728984304931848e-01, 2.35452677690504597e-01,1.43734037189958697e-02,8.73823267039849250e-01, 3.16822711852066119e-01, 7.18729120784076581e-01
3.94164579517860103e-01,9.05232768024803680e-01,7.02832181178324467e-02, 9.93735074499608739e-02,4.84863321491019406e-01,8.58015658344495225e-01, 3.60809889275634510e-01,8.54489278668173147e-01,4.15799621662403029e-01, 1.29597641527093160e-01, 2.04776920598070095e-01
1.40548421637845755e-01,4.11771142956997238e-01,7.31803137362244671e-02, 4.67892580857010798e-01,7.30459646950572861e-01,4.01209336264904737e-01, 1.10723922802267283e-01,2.15253238551856074e-01,2.54678404066144060e-01, 1.50838432486790214e-01, 2.34293939693333952e-01
5.24131739503927996e-01,2.20147970525608305e-01,6.72908694526138440e-01, 9.76423861379261737e-01,9.16857391388068765e-01,8.56458333950718909e-01, 3.71001403289042742e-01,7.99317896544857076e-01,2.07752207303150027e-01, 5.95276263530311156e-01, 6.65052320346282366e-01
6.16430173232742962e-01,2.21582756147235660e-01,6.71099554668813547e-01, 7.65137565874467018e-01,5.48129602719589992e-01,2.10307424591239744e-01, 2.33177635278836504e-01,7.55881490237392040e-01,7.60913802646677073e-01, 3.80036425367708264e-01, 4.79063459838786787e-01
3.07017280574011009e-01,4.24861747377814902e-01,9.11417328640795943e-01, 2.14113801406980886e-01,4.04555262214968292e-01,7.77610597415572591e-01, 1.74103545576035024e-01,3.50456605449535497e-01,9.11652262110365541e-01, 2.08336947786672173e-02, 1.38907804500719462e-01
7.52090042610613074e-01,9.14900797174413527e-01,8.94471748749396722e-01, 2.21566487515152066e-01,2.88264468413564567e-01,1.12767322287385174e-01, 6.87280805402730399e-01,8.71841403344072785e-01,5.98590296337469963e-01, 1.86133733417639696e-01, 2.08957632031516599e-01
7.81368604492360674e-02,7.84412192489743254e-01,7.07301802194697959e-01, 5.87172141695631256e-01,7.96456974818378072e-01,7.93592425717749350e-01, 9.70605371730427269e-01,7.03706738406682408e-01,7.28593071584042185e-01, 8.43658416470693256e-02, 2.11014487536712037e-01
6.19801725670627635e-01,2.83623946846952246e-01,1.80394548887503947e-01, 7.22979796764166682e-01,6.47581014059434024e-02,9.64601755803455974e-01, 5.88693527998106370e-01,1.79712531179291202e-01,5.60872707301249052e-01, 6.60461803169831163e-02, 1.49855738027803498e-01
4.43696782827480929e-01,9.55677462187215720e-01,8.98899241596813003e-01, 5.70868941260705087e-01,7.44947839373729881e-01,6.84613176322248496e-02, 4.68924678679214613e-01,7.17539091949735752e-01,7.71483255942362889e-01, 1.72788213368037014e-01, 2.43054401998034825e-01
8.99242565309423703e-01,6.13889793403136541e-01,6.16432266241266680e-01, 3.57707148206665160e-02,5.27753705272469009e-02,6.53748929165795301e-01, 9.22665618660860831e-01,2.58442098544915178e-01,4.78363728770665353e-01, 3.53097985125907898e-01, 3.80834770233940967e-01
4.04559947272346010e-01,5.64389975690707479e-01,5.20228172859070082e-01, 7.42807133499619909e-01,5.17242336056226049e-01,7.95766862405674624e-02, 1.68119061360250011e-01,5.67984318974155800e-01,5.10071589055623775e-01, 1.08100446069415490e-01, 1.50173262035734445e-01
2.30952092474740578e-01,9.14879800243614372e-01,7.79846835882524902e-01, 5.62037255659924906e-01,8.86203078842288550e-01,5.39958809031030551e-01, 1.08215539052351262e-01,5.37936187343252992e-01,6.82726011701281998e-01, 1.67155687711935869e-01, 2.83507629367401315e-01
3.54620924124595005e-01,6.94258897365498617e-01,7.79639002798536151e-01, 9.43766154817666236e-01,5.53151192454972906e-01,3.56286982532649676e-01, 7.02099533829908418e-01,3.34890336022314217e-01,6.08826759488314551e-01, 2.12180449554402656e-01, 5.14890543852916660e-01
1.79497925279305304e-01,5.83906696798071945e-01,6.41225370111793591e-01, 6.44173183001118144e-01,3.03152923895328219e-01,8.36274275890526164e-01, 3.84765682233763062e-01,9.27318152508997073e-01,3.07660243762349017e-01, 2.93135256647628517e-01, 3.41616240637924673e-01
3.54623871816943659e-01,9.12722042645944365e-01,6.63593865322533283e-01, 9.89342540934907921e-01,1.14375070975698767e-01,3.54689902373547472e-01, 6.86461000109508612e-01,3.55389922102822164e-01,7.07796458350512525e-01, 2.60715944380540521e-01, 4.97609659976889440e-01
5.25612836578853937e-01,7.58541346277564421e-01,5.35900191073356402e-01, 6.12931465058520142e-01,5.47126037144576749e-01,1.04690010726458782e-01, 2.29568979319614064e-01,5.58378773735189515e-01,6.34840347509374792e-01, 1.79092183768732677e-01, 2.73701538262821342e-01
